Format Version,1.23,Take Name,Take 2024-04-18 09.52.19 AM_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-18 09.55.24.539 AM,Capture Start Frame,4710452,Total Frames in Take,4242,Total Exported Frames,4242,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Drone_Marker:Label,Drone_Marker:Label,Drone_Marker:Label
,ID,"2C1C5CDEFD5A11EEF196A13ACAB88A83","2C1C5CDEFD5A11EEF196A13ACAB88A83","2C1C5CDEFD5A11EEF196A13ACAB88A83"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
218,2.180000,-0.235787,0.023363,-1.016658
219,2.190000,-0.235788,0.023284,-1.016701
220,2.200000,-0.235829,0.023237,-1.016753
221,2.210000,-0.235816,0.023239,-1.016748
222,2.220000,-0.235861,0.023170,-1.016838
223,2.230000,-0.235860,0.023165,-1.016815
224,2.240000,-0.235852,0.023157,-1.016787
225,2.250000,-0.235841,0.023221,-1.016747
226,2.260000,-0.235863,0.023204,-1.016831
227,2.270000,-0.235828,0.023283,-1.016701
228,2.280000,-0.235824,0.023252,-1.016729
229,2.290000,-0.235829,0.023304,-1.016721
230,2.300000,-0.235796,0.023319,-1.016706
231,2.310000,-0.235810,0.023339,-1.016696
232,2.320000,-0.235776,0.023368,-1.016650
233,2.330000,-0.235804,0.023285,-1.016756
234,2.340000,-0.235811,0.023293,-1.016721
235,2.350000,-0.235795,0.023348,-1.016660
236,2.360000,-0.235832,0.023189,-1.016824
237,2.370000,-0.235841,0.023209,-1.016805
238,2.380000,-0.235822,0.023271,-1.016717
239,2.390000,-0.235835,0.023259,-1.016717
240,2.400000,-0.235823,0.023219,-1.016768
241,2.410000,-0.235845,0.023213,-1.016745
242,2.420000,-0.235861,0.023175,-1.016801
243,2.430000,-0.235833,0.023226,-1.016772
244,2.440000,-0.235800,0.023269,-1.016739
245,2.450000,-0.235827,0.023251,-1.016758
246,2.460000,-0.235799,0.023364,-1.016637
247,2.470000,-0.235836,0.023230,-1.016789
248,2.480000,-0.235798,0.023326,-1.016672
249,2.490000,-0.235800,0.023313,-1.016685
250,2.500000,-0.235785,0.023365,-1.016657
251,2.510000,-0.235809,0.023236,-1.016781
252,2.520000,-0.235827,0.023259,-1.016755
253,2.530000,-0.235837,0.023217,-1.016792
254,2.540000,-0.235843,0.023213,-1.016795
255,2.550000,-0.235820,0.023279,-1.016720
256,2.560000,-0.235825,0.023244,-1.016715
257,2.570000,-0.235863,0.023114,-1.016876
258,2.580000,-0.235847,0.023194,-1.016809
259,2.590000,-0.235808,0.023290,-1.016684
260,2.600000,-0.235819,0.023252,-1.016749
261,2.610000,-0.235836,0.023252,-1.016776
262,2.620000,-0.235821,0.023251,-1.016740
263,2.630000,-0.235806,0.023272,-1.016722
264,2.640000,-0.235829,0.023277,-1.016753
265,2.650000,-0.235780,0.023330,-1.016702
266,2.660000,-0.235798,0.023305,-1.016725
267,2.670000,-0.235811,0.023297,-1.016718
268,2.680000,-0.235827,0.023275,-1.016718
269,2.690000,-0.235830,0.023271,-1.016717
270,2.700000,-0.235839,0.023228,-1.016762
271,2.710000,-0.235870,0.023183,-1.016823
272,2.720000,-0.235827,0.023265,-1.016725
273,2.730000,-0.235843,0.023170,-1.016828
274,2.740000,-0.235851,0.023171,-1.016803
275,2.750000,-0.235850,0.023216,-1.016790
276,2.760000,-0.235839,0.023188,-1.016832
277,2.770000,-0.235834,0.023234,-1.016764
278,2.780000,-0.235824,0.023246,-1.016758
279,2.790000,-0.235794,0.023308,-1.016709
280,2.800000,-0.235809,0.023274,-1.016706
281,2.810000,-0.235793,0.023299,-1.016671
282,2.820000,-0.235791,0.023286,-1.016703
283,2.830000,-0.235819,0.023263,-1.016754
284,2.840000,-0.235824,0.023232,-1.016775
285,2.850000,-0.235806,0.023313,-1.016707
286,2.860000,-0.235845,0.023204,-1.016791
287,2.870000,-0.235849,0.023248,-1.016769
288,2.880000,-0.235839,0.023257,-1.016747
289,2.890000,-0.235826,0.023240,-1.016746
290,2.900000,-0.235828,0.023229,-1.016786
291,2.910000,-0.235827,0.023235,-1.016766
292,2.920000,-0.235810,0.023264,-1.016761
293,2.930000,-0.235820,0.023232,-1.016779
294,2.940000,-0.235784,0.023279,-1.016724
295,2.950000,-0.235790,0.023325,-1.016677
296,2.960000,-0.235769,0.023342,-1.016648
297,2.970000,-0.235795,0.023343,-1.016665
298,2.980000,-0.235822,0.023273,-1.016723
299,2.990000,-0.235805,0.023294,-1.016689
300,3.000000,-0.235827,0.023290,-1.016714
301,3.010000,-0.235794,0.023307,-1.016685
302,3.020000,-0.235857,0.023203,-1.016794
303,3.030000,-0.235841,0.023257,-1.016733
304,3.040000,-0.235807,0.023329,-1.016666
305,3.050000,-0.235813,0.023242,-1.016737
306,3.060000,-0.235837,0.023201,-1.016783
307,3.070000,-0.235786,0.023341,-1.016657
308,3.080000,-0.235804,0.023300,-1.016691
309,3.090000,-0.235793,0.023293,-1.016719
310,3.100000,-0.235832,0.023230,-1.016803
311,3.110000,-0.235832,0.023246,-1.016768
312,3.120000,-0.235818,0.023265,-1.016738
313,3.130000,-0.235810,0.023314,-1.016689
314,3.140000,-0.235860,0.023173,-1.016856
315,3.150000,-0.235842,0.023255,-1.016757
316,3.160000,-0.235831,0.023227,-1.016762
317,3.170000,-0.235822,0.023279,-1.016734
318,3.180000,-0.235824,0.023281,-1.016729
319,3.190000,-0.235853,0.023165,-1.016829
320,3.200000,-0.235815,0.023287,-1.016709
321,3.210000,-0.235849,0.023195,-1.016845
322,3.220000,-0.235830,0.023292,-1.016705
323,3.230000,-0.235813,0.023252,-1.016741
324,3.240000,-0.235786,0.023331,-1.016652
325,3.250000,-0.235827,0.023284,-1.016766
326,3.260000,-0.235808,0.023287,-1.016722
327,3.270000,-0.235824,0.023265,-1.016729
328,3.280000,-0.235813,0.023299,-1.016712
329,3.290000,-0.235838,0.023220,-1.016789
330,3.300000,-0.235828,0.023247,-1.016782
331,3.310000,-0.235811,0.023263,-1.016725
332,3.320000,-0.235865,0.023160,-1.016880
333,3.330000,-0.235832,0.023241,-1.016750
334,3.340000,-0.235812,0.023266,-1.016707
335,3.350000,-0.235849,0.023243,-1.016781
336,3.360000,-0.235834,0.023224,-1.016770
337,3.370000,-0.235806,0.023331,-1.016684
338,3.380000,-0.235798,0.023330,-1.016660
339,3.390000,-0.235790,0.023280,-1.016726
340,3.400000,-0.235815,0.023283,-1.016731
341,3.410000,-0.235794,0.023280,-1.016718
342,3.420000,-0.235836,0.023265,-1.016752
343,3.430000,-0.235821,0.023249,-1.016741
344,3.440000,-0.235810,0.023241,-1.016759
345,3.450000,-0.235813,0.023279,-1.016704
346,3.460000,-0.235827,0.023201,-1.016776
347,3.470000,-0.235829,0.023287,-1.016721
348,3.480000,-0.235840,0.023207,-1.016778
349,3.490000,-0.235816,0.023241,-1.016739
350,3.500000,-0.235834,0.023258,-1.016738
351,3.510000,-0.235856,0.023168,-1.016855
352,3.520000,-0.235800,0.023326,-1.016665
353,3.530000,-0.235811,0.023254,-1.016728
354,3.540000,-0.235827,0.023235,-1.016780
355,3.550000,-0.235798,0.023322,-1.016658
356,3.560000,-0.235796,0.023317,-1.016674
357,3.570000,-0.235827,0.023237,-1.016774
358,3.580000,-0.235794,0.023350,-1.016646
359,3.590000,-0.235769,0.023354,-1.016637
360,3.600000,-0.235836,0.023281,-1.016732
361,3.610000,-0.235836,0.023186,-1.016826
362,3.620000,-0.235840,0.023264,-1.016756
363,3.630000,-0.235814,0.023258,-1.016739
364,3.640000,-0.235832,0.023273,-1.016748
365,3.650000,-0.235818,0.023281,-1.016708
366,3.660000,-0.235818,0.023275,-1.016713
367,3.670000,-0.235863,0.023194,-1.016815
368,3.680000,-0.235844,0.023223,-1.016800
369,3.690000,-0.235820,0.023273,-1.016759
370,3.700000,-0.235815,0.023264,-1.016734
371,3.710000,-0.235810,0.023312,-1.016690
372,3.720000,-0.235806,0.023248,-1.016782
373,3.730000,-0.235823,0.023231,-1.016768
374,3.740000,-0.235780,0.023320,-1.016671
375,3.750000,-0.235816,0.023260,-1.016745
376,3.760000,-0.235819,0.023288,-1.016736
377,3.770000,-0.235823,0.023253,-1.016769
378,3.780000,-0.235783,0.023346,-1.016628
379,3.790000,-0.235821,0.023276,-1.016721
380,3.800000,-0.235832,0.023242,-1.016750
381,3.810000,-0.235833,0.023241,-1.016753
382,3.820000,-0.235849,0.023196,-1.016822
383,3.830000,-0.235824,0.023240,-1.016748
384,3.840000,-0.235801,0.023296,-1.016693
385,3.850000,-0.235813,0.023299,-1.016697
386,3.860000,-0.235804,0.023291,-1.016709
387,3.870000,-0.235791,0.023318,-1.016694
388,3.880000,-0.235816,0.023269,-1.016718
389,3.890000,-0.235816,0.023297,-1.016732
390,3.900000,-0.235847,0.023244,-1.016763
391,3.910000,-0.235813,0.023307,-1.016706
392,3.920000,-0.235799,0.023324,-1.016665
393,3.930000,-0.235794,0.023313,-1.016685
394,3.940000,-0.235847,0.023211,-1.016816
395,3.950000,-0.235799,0.023316,-1.016634
396,3.960000,-0.235816,0.023247,-1.016757
397,3.970000,-0.235823,0.023207,-1.016781
398,3.980000,-0.235816,0.023233,-1.016765
399,3.990000,-0.235808,0.023259,-1.016708
400,4.000000,-0.235824,0.023236,-1.016780
401,4.010000,-0.235836,0.023217,-1.016804
402,4.020000,-0.235836,0.023225,-1.016782
403,4.030000,-0.235800,0.023276,-1.016710
404,4.040000,-0.235846,0.023178,-1.016837
405,4.050000,-0.235832,0.023231,-1.016790
406,4.060000,-0.235801,0.023281,-1.016688
407,4.070000,-0.235846,0.023282,-1.016742
408,4.080000,-0.235846,0.023189,-1.016830
409,4.090000,-0.235838,0.023175,-1.016820
410,4.100000,-0.235805,0.023266,-1.016762
411,4.110000,-0.235836,0.023207,-1.016816
412,4.120000,-0.235826,0.023264,-1.016731
413,4.130000,-0.235803,0.023294,-1.016685
414,4.140000,-0.235806,0.023314,-1.016694
415,4.150000,-0.235818,0.023249,-1.016767
416,4.160000,-0.235834,0.023277,-1.016722
417,4.170000,-0.235820,0.023250,-1.016740
418,4.180000,-0.235819,0.023234,-1.016772
419,4.190000,-0.235827,0.023266,-1.016743
420,4.200000,-0.235820,0.023266,-1.016742
421,4.210000,-0.235828,0.023240,-1.016765
422,4.220000,-0.235820,0.023260,-1.016737
423,4.230000,-0.235813,0.023301,-1.016704
424,4.240000,-0.235827,0.023260,-1.016745
425,4.250000,-0.235832,0.023272,-1.016720
426,4.260000,-0.235840,0.023190,-1.016825
427,4.270000,-0.235826,0.023268,-1.016745
428,4.280000,-0.235794,0.023314,-1.016678
429,4.290000,-0.235844,0.023250,-1.016782
430,4.300000,-0.235818,0.023303,-1.016702
431,4.310000,-0.235807,0.023300,-1.016701
432,4.320000,-0.235797,0.023305,-1.016690
433,4.330000,-0.235828,0.023261,-1.016733
434,4.340000,-0.235831,0.023246,-1.016764
435,4.350000,-0.235828,0.023241,-1.016752
436,4.360000,-0.235817,0.023259,-1.016744
437,4.370000,-0.235835,0.023236,-1.016777
438,4.380000,-0.235805,0.023300,-1.016706
439,4.390000,-0.235840,0.023251,-1.016747
440,4.400000,-0.235844,0.023195,-1.016795
441,4.410000,-0.235829,0.023220,-1.016769
442,4.420000,-0.235813,0.023273,-1.016731
443,4.430000,-0.235798,0.023295,-1.016703
444,4.440000,-0.235813,0.023233,-1.016764
445,4.450000,-0.235842,0.023202,-1.016804
446,4.460000,-0.235825,0.023243,-1.016760
447,4.470000,-0.235823,0.023238,-1.016757
448,4.480000,-0.235816,0.023299,-1.016709
449,4.490000,-0.235837,0.023258,-1.016747
450,4.500000,-0.235825,0.023240,-1.016761
451,4.510000,-0.235855,0.023214,-1.016815
452,4.520000,-0.235863,0.023190,-1.016813
453,4.530000,-0.235826,0.023285,-1.016708
454,4.540000,-0.235822,0.023288,-1.016720
455,4.550000,-0.235818,0.023298,-1.016693
456,4.560000,-0.235825,0.023223,-1.016763
457,4.570000,-0.235813,0.023230,-1.016788
458,4.580000,-0.235814,0.023260,-1.016742
459,4.590000,-0.235808,0.023273,-1.016753
460,4.600000,-0.235827,0.023299,-1.016698
461,4.610000,-0.235808,0.023315,-1.016690
462,4.620000,-0.235813,0.023274,-1.016738
463,4.630000,-0.235829,0.023265,-1.016741
464,4.640000,-0.235789,0.023350,-1.016642
465,4.650000,-0.235839,0.023273,-1.016727
466,4.660000,-0.235820,0.023269,-1.016720
467,4.670000,-0.235814,0.023293,-1.016704
468,4.680000,-0.235824,0.023295,-1.016708
469,4.690000,-0.235842,0.023229,-1.016768
470,4.700000,-0.235811,0.023277,-1.016721
471,4.710000,-0.235792,0.023333,-1.016645
472,4.720000,-0.235821,0.023293,-1.016719
473,4.730000,-0.235849,0.023211,-1.016798
474,4.740000,-0.235827,0.023214,-1.016787
475,4.750000,-0.235828,0.023213,-1.016793
476,4.760000,-0.235796,0.023362,-1.016631
477,4.770000,-0.235833,0.023228,-1.016771
478,4.780000,-0.235838,0.023247,-1.016736
479,4.790000,-0.235816,0.023253,-1.016763
480,4.800000,-0.235816,0.023257,-1.016770
481,4.810000,-0.235813,0.023259,-1.016738
482,4.820000,-0.235819,0.023240,-1.016770
483,4.830000,-0.235805,0.023291,-1.016700
484,4.840000,-0.235845,0.023201,-1.016797
485,4.850000,-0.235796,0.023298,-1.016691
486,4.860000,-0.235803,0.023262,-1.016717
487,4.870000,-0.235831,0.023266,-1.016758
488,4.880000,-0.235810,0.023304,-1.016684
489,4.890000,-0.235842,0.023161,-1.016847
490,4.900000,-0.235824,0.023293,-1.016721
491,4.910000,-0.235818,0.023259,-1.016726
492,4.920000,-0.235809,0.023289,-1.016680
493,4.930000,-0.235821,0.023293,-1.016712
494,4.940000,-0.235815,0.023247,-1.016769
495,4.950000,-0.235840,0.023238,-1.016809
496,4.960000,-0.235836,0.023262,-1.016750
497,4.970000,-0.235853,0.023205,-1.016807
498,4.980000,-0.235815,0.023265,-1.016742
499,4.990000,-0.235827,0.023234,-1.016743
500,5.000000,-0.235853,0.023195,-1.016825
501,5.010000,-0.235847,0.023238,-1.016791
